"city","PD_test_1","PD_test_2","age","education","gender","hukou","industry","firm_size","attention_check","similar_situations","population","treatment","cooperation","own_company","income","employment_status","treatment_agree"
"Hangzhou","16.5","6.6",32,"high school","male","urban","制造业","more than 500","5","idk","managers","R",0,"yes","100-150k","employed",4
"Hangzhou","60000","60000",31,"some college","female","rural","建筑","10-100","5","no","managers","N",0,"prefer not to answer","100-150k","employed",4
"Hangzhou","3680","16.5",20,"college degree","male","rural","it","less than 10","5","yes","managers","R",1,"yes","30-60k","employed",1
"Hangzhou","16.5","6.6",31,"college degree","female","urban","零售","10-100","5","no","managers","R",0,"no","more than 150k","employed",3
"Hangzhou","33","33",25,"college degree","male","rural","北山口","101-300","5","yes","managers","N",1,"yes","100-150k","employed",2
"Hangzhou","16.5","16",33,"high school","male","urban","餐饮","10-100","4","no","managers","R",1,"no","60-100k","self employed",2
"Hangzhou","16.5","6.6",25,"some college","male","rural","制造业","101-300","5","yes","managers","N",0,"yes","60-100k","employed",2
"Hangzhou","2.2","2",22,"college degree","male","rural","总管","101-300","5","yes","managers","R",0,"no","30-60k","employed",2
"Hangzhou","16.5","3.3",30,"college degree","male","urban","名品国际","10-100","5","no","managers","N",1,"yes","60-100k","employed",2
"Hangzhou","16.5","6.6",25,"college degree","female","urban","销售","301-500","5","yes","managers","R",0,"no","60-100k","employed",4
"Hangzhou","16.5","16.5",33,"some college","male","rural","制造业","101-300","5","no","managers","N",1,"yes","100-150k","employed",4
"Hangzhou","16.5","26.5",28,"college degree","female","rural","员工","10-100","5","idk","managers","R",0,"yes","60-100k","employed",4
"Hangzhou","16.5","6.6",23,"some college","female","urban","财务","301-500","5","idk","managers","R",1,"no","60-100k","employed",3
"Hangzhou","16.5","6.6",23,"college degree","male","urban","土木工程设计类","less than 10","5","idk","managers","R",1,"no","100-150k","employed",4
"Hangzhou","16.5","6.6",29,"college degree","female","rural","教育","10-100","5","yes","managers","R",0,"yes","more than 150k","employed",1
"Hangzhou","16.5","6.6",28,"college degree","female","urban","制造业","101-300","5","no","managers","R",0,"yes","60-100k","employed",4
"Hangzhou","16.5","6.6",22,"college degree","female","rural","跨境电商","10-100","5","no","managers","R",1,"no","60-100k","employed",3
"Hangzhou","16.5","3.3",22,"some college","male","rural","互联网","10-100","5","yes","managers","N",1,"yes","60-100k","self employed",1
"Hangzhou","16","6",30,"college degree","male","rural","纺织","10-100","5","no","managers","N",0,"yes","60-100k","employed",4
"Hangzhou","16.5","6.6",24,"college degree","female","rural","零售业","101-300","5","yes","managers","R",1,"no","100-150k","employed",3
"Hangzhou","16.5","3.3",22,"college degree","female","rural","互联网","more than 500","4","no","managers","R",1,"yes","60-100k","employed",2
"Hangzhou","16.5","6.6",25,"advanced degree","female","rural","信息行业","more than 500","5","no","managers","R",1,"no","more than 150k","employed",4
"Hangzhou","3500","23.6",30,"less than high school","female","rural","浙江温州","101-300","5","yes","managers","N",1,"yes","30-60k","self employed",3
"Hangzhou","16.5","6.6",36,"college degree","male","urban","制造业","101-300","5","no","managers","N",0,"yes","more than 150k","employed",4
"Hangzhou","16.5","26.3",36,"advanced degree","female","urban","制造业","101-300","5","yes","managers","N",0,"yes","more than 150k","employed",3
"Hangzhou","16.5","6.6",24,"college degree","female","rural","互联网","more than 500","5","yes","managers","R",0,"no","30-60k","employed",2
"Hangzhou","165","66",34,"some college","female","rural","制造业","10-100","5","no","managers","R",1,"no","more than 150k","employed",4
"Hangzhou","16.5","6.6",25,"some college","male","urban","互联网","less than 10","5","no","managers","R",0,"yes","30-60k","self employed",3
"Hangzhou","16.5","6.6",25,"advanced degree","female","urban","地产","301-500","5","yes","managers","R",0,"no","30-60k","employed",1
"Hangzhou","16.5","6.6",23,"high school","female","rural","水泵生产厂家","10-100","5","no","managers","R",1,"yes","60-100k","employed",2
"Hangzhou","16.5","6.6",18,"college degree","male","urban","网络科技","more than 500","5","yes","managers","N",0,"yes","more than 150k","employed",5
"Hangzhou","16.5","6.6",22,"some college","female","rural","装修","10-100","5","idk","managers","N",0,"no","100-150k","employed",3
"Hangzhou","16.5","6.6",28,"college degree","male","urban","医药","10-100","5","no","managers","N",0,"no","more than 150k","employed",4
"Hangzhou","3.3","16.5",30,"college degree","female","urban","纺织","more than 500","5","no","managers","R",1,"no","100-150k","employed",4
"Hangzhou","16.5","6.6",37,"college degree","male","rural","企事业单位","301-500","5","no","managers","R",0,"no","60-100k","employed",4
"Hangzhou","16.5","16",30,"college degree","male","rural","金融","10-100","5","no","managers","N",0,"yes","100-150k","employed",4
"Hangzhou","16.5","6.6",26,"college degree","male","urban","贸易","101-300","5","no","managers","N",1,"yes","60-100k","employed",4
"Hangzhou","23","16",34,"college degree","male","rural","制造","more than 500","5","yes","managers","N",1,"no","100-150k","employed",4
"Wenzhou","16.5","6.6",24,"some college","female","rural","建筑业","301-500","5","no","managers","N",1,"no","60-100k","employed",2
"Wenzhou","16.5","6.6",32,"college degree","male","urban","地质勘探员","101-300","5","yes","managers","R",0,"yes","more than 150k","employed",4
"Wenzhou","16.5","6.6",32,"college degree","female","urban","进出口贸易","101-300","5","yes","managers","R",1,"no","more than 150k","employed",2
"Wenzhou","16.5","6.6",30,"college degree","male","urban","制造业","301-500","5","yes","managers","N",1,"no","more than 150k","employed",4
"Wenzhou","16.5","6.6",35,"some college","female","rural","淘宝","less than 10","5","no","managers","R",1,"yes","60-100k","self employed",4
"Wenzhou","16.5","26.3",25,"some college","female","urban","制造","101-300","5","yes","managers","N",0,"yes","more than 150k","self employed",4
"Wenzhou","16.5","16.5",28,"some college","male","urban","服务类住宿类","10-100","5","yes","managers","R",1,"yes","100-150k","self employed",4
"Wenzhou","16.5","6.6",28,"some college","female","rural","电子生产","301-500","5","no","managers","N",1,"no","60-100k","employed",3
"Wenzhou","16.5","6.6",38,"some college","female","urban","制造业","10-100","5","no","managers","R",1,"yes","60-100k","employed",3
"Wenzhou","25","23",28,"college degree","female","rural","制造业","301-500","5","yes","managers","N",1,"yes","more than 150k","employed",4
"Wenzhou","16.5","6.6",25,"some college","male","rural","科技","less than 10","5","yes","managers","R",1,"no","60-100k","employed",3
"Wenzhou","200","150",26,"high school","male","rural","数控机床","10-100","5","yes","managers","R",1,"no","30-60k","employed",4
"Wenzhou","16.5","6.6",25,"college degree","female","urban","计算机","101-300","5","yes","managers","R",1,"no","more than 150k","employed",2
"Wenzhou","16.5","6.6",26,"college degree","female","urban","教育","101-300","5","yes","managers","N",0,"no","more than 150k","employed",3
"Wenzhou","16.5","6.6",35,"college degree","male","urban","建筑","101-300","5","no","managers","N",1,"no","more than 150k","employed",5
"Wenzhou","165","66",37,"college degree","male","urban","期货","101-300","5","yes","managers","R",1,"no","more than 150k","employed",2
"Wenzhou","22","5",30,"advanced degree","male","urban","腾讯","more than 500","5","yes","managers","R",1,"yes","more than 150k","self employed",2
"Wenzhou","16.5","6.6",36,"college degree","male","rural","建筑业","more than 500","5","yes","managers","R",1,"yes","more than 150k","employed",4
"Wenzhou","16.5","6.6",28,"college degree","female","urban","设计","10-100","5","no","managers","N",0,"yes","100-150k","employed",2
"Wenzhou","16.5","6.6",22,"college degree","male","urban","金融","more than 500","5","no","managers","R",0,"no","more than 150k","employed",3
"Wenzhou","16.5","6.6",47,"college degree","female","urban","汉通酒店管理有限公司","10-100","5","idk","managers","N",1,"yes","60-100k","employed",2
"Wenzhou","16.5","6.6",29,"some college","male","rural","施工管理","more than 500","5","no","managers","R",0,"yes","more than 150k","employed",4
"Wenzhou","16.5","6.6",26,"college degree","male","urban","杭州星物语科技有限公司","more than 500","5","no","managers","N",0,"yes","100-150k","employed",3
"Wenzhou","16.5","6.6",28,"college degree","female","urban","服务行业","10-100","5","yes","managers","N",1,"no","60-100k","employed",2
"Wenzhou","16.5","6.6",30,"college degree","male","urban","机械工程","more than 500","5","yes","managers","N",1,"yes","more than 150k","self employed",4
"Wenzhou","16.5","6.6",36,"some college","male","urban","建筑材料制造业","301-500","5","no","managers","R",1,"yes","100-150k","employed",3
"Wenzhou","16.5","16.5",26,"college degree","male","urban","销售","10-100","5","no","managers","N",0,"no","60-100k","employed",4
"Wenzhou","16.5","6.6",46,"college degree","male","urban","宁波汉通酒店管理咨询有限公司","101-300","5","yes","managers","N",1,"yes","less than 30k","employed",4
"Wenzhou","16.5","6.6",40,"college degree","male","urban","交通","more than 500","5","no","managers","R",0,"yes","more than 150k","employed",4
"Wenzhou","26.5","3.3",40,"high school","male","rural","制造业","101-300","5","yes","managers","R",1,"no","60-100k","employed",2
"Wenzhou","16.5","6.6",36,"advanced degree","male","urban","制造业","101-300","5","yes","managers","N",0,"yes","more than 150k","employed",4
"Wenzhou","16.5","6.6",33,"college degree","male","urban","电子商务","10-100","5","no","managers","N",1,"yes","more than 150k","employed",3
"Wenzhou","16.5","6.6",23,"college degree","female","rural","电子商务","101-300","5","yes","managers","R",0,"no","60-100k","employed",4
"Wenzhou","16.5","6.6",35,"college degree","male","urban","制造业","301-500","5","yes","managers","R",0,"yes","more than 150k","employed",4
"Wenzhou","16.5","6.6",36,"college degree","male","urban","制造业","301-500","5","no","managers","N",0,"yes","more than 150k","employed",4
"Wenzhou","16.5","6.6",25,"college degree","male","rural","电商","101-300","5","no","managers","N",0,"no","100-150k","employed",5
"Wenzhou","16.5","3.3",24,"high school","male","rural","京东快递","more than 500","5","no","managers","R",0,"prefer not to answer","less than 30k","employed",3
"Wenzhou","16.5","6.6",28,"college degree","female","urban","金融业","101-300","5","no","managers","R",0,"yes","60-100k","employed",4
"Wenzhou","16.5","6.6",30,"college degree","male","rural","配件批发","10-100","5","no","managers","N",0,"yes","60-100k","self employed",4
"Wenzhou","16.5","6.6",32,"college degree","female","urban","服务业","10-100","5","yes","managers","N",0,"yes","more than 150k","employed",1
"Wenzhou","16.5","6.6",33,"high school","female","urban","服务业","10-100","5","yes","managers","R",0,"no","100-150k","employed",2
"Wenzhou","16.5","6.6",31,"some college","female","urban","制造业","10-100","5","yes","managers","N",0,"no","100-150k","employed",1
"Wenzhou","16.5","6.6",32,"some college","female","urban","制造业","10-100","5","no","managers","R",0,"yes","100-150k","employed",1
"Wenzhou","16.5","6.6",34,"college degree","female","urban","制造业","10-100","5","no","managers","N",0,"no","more than 150k","employed",1
"Wenzhou","16.5","6.6",33,"college degree","female","urban","制造业","10-100","5","no","managers","N",0,"no","more than 150k","employed",1
"Wenzhou","16.5","6.6",28,"some college","female","urban","制造业","301-500","5","no","managers","R",0,"no","more than 150k","employed",4
"Wenzhou","16.5","6.6",36,"college degree","male","rural","建筑业","101-300","5","no","managers","N",1,"yes","more than 150k","employed",3
"Wenzhou","16.5","6.6",32,"college degree","female","urban","制造业","10-100","5","no","managers","R",0,"no","more than 150k","employed",1
"Wenzhou","6.6","6.6",42,"college degree","female","urban","港口","more than 500","5","idk","managers","N",0,"no","60-100k","employed",3
"Wenzhou","16.5","6.6",39,"college degree","female","urban","建筑鉴定","10-100","5","no","managers","R",1,"yes","100-150k","employed",4
"Wenzhou","16.5","6.6",36,"college degree","female","rural","物业","more than 500","5","yes","managers","R",1,"yes","more than 150k","employed",4
"Wenzhou","16.5","6.6",30,"college degree","female","urban","机械工程","101-300","5","yes","managers","N",1,"yes","more than 150k","self employed",4
"Wenzhou","16.5","6.6",27,"college degree","male","urban","信息技术","101-300","5","no","managers","R",0,"no","100-150k","self employed",2
"Wenzhou","16.5","6.6",29,"some college","male","rural","信息技术","101-300","5","no","managers","N",0,"no","60-100k","self employed",2
"Wenzhou","16.5","6.6",30,"college degree","female","urban","金融","101-300","5","no","managers","N",0,"no","100-150k","self employed",3
"Wenzhou","16.5","6.6",23,"college degree","male","urban","建筑业","101-300","5","no","managers","N",1,"no","more than 150k","employed",5
"Wenzhou","16.5","6.6",29,"some college","male","rural","建筑业","more than 500","5","no","managers","R",1,"no","60-100k","employed",5
"Wenzhou","16.5","6.6",33,"advanced degree","male","urban","化工行业","301-500","5","no","managers","N",1,"yes","more than 150k","self employed",4
"Wenzhou","16.5","6.6",28,"college degree","male","rural","制造业","101-300","5","no","managers","R",1,"yes","100-150k","employed",4
"Wenzhou","16.5","6.6",32,"college degree","male","rural","建筑业","more than 500","5","no","managers","N",0,"no","more than 150k","employed",2
"Nanjing","16.5","6.6",20,"college degree","female","urban",NA,NA,"5","yes","managers","R",1,"no","more than 150k","unemployed",2
"Nanjing","16.5","6.6",29,"college degree","female","rural","化工行业","101-300","5","no","managers","N",0,"no","100-150k","employed",4
"Nanjing","6.6","26",30,"some college","male","rural","服务","301-500","5","yes","managers","N",1,"yes","100-150k","employed",4
"Nanjing","26.3","16.3",23,"some college","male","rural","制造业","10-100","5","yes","managers","R",0,"no","60-100k","employed",1
"Nanjing","33","13",35,"high school","male","urban","服务","10-100","5","yes","managers","R",1,"yes","100-150k","employed",4
"Nanjing","26","26",45,"some college","female","urban","制造业","301-500","5","idk","managers","R",1,"no","100-150k","employed",3
"Nanjing","16.5","3.3",26,"some college","female","rural","制造业","301-500","5","yes","managers","R",1,"yes","60-100k","employed",3
"Nanjing","16.5","6.6",27,"less than high school","female","rural","金融","10-100","5","yes","managers","R",1,"no","60-100k","employed",4
"Nanjing","16.5","6.6",48,"less than high school","male","rural","机械制造","more than 500","5","no","managers","R",0,"no","30-60k","employed",3
"Nanjing","16.5","6.6",28,"college degree","female","rural","制造业","more than 500","5","yes","managers","R",1,"yes","more than 150k","employed",3
"Nanjing","16.5","6.6",32,"college degree","female","urban","房地产业","more than 500","5","no","managers","N",0,"no","more than 150k","employed",4
"Nanjing","16.5","6.6",24,"some college","female","urban","陶瓷","10-100","5","yes","managers","R",0,"yes","100-150k","employed",4
"Nanjing","16.5","6.6",29,"college degree","female","urban","制造业","more than 500","5","no","managers","R",1,"no","100-150k","self employed",1
"Nanjing","33","13.2",29,"advanced degree","female","urban","房地产","301-500","5","no","managers","N",1,"yes","30-60k","employed",2
"Nanjing","16.5","6.6",29,"college degree","male","rural","制造业","more than 500","5","no","managers","R",1,"no","100-150k","self employed",1
"Nanjing","16.5","6.6",26,"college degree","male","urban","服务业","10-100","5","no","managers","N",1,"yes","60-100k","employed",5
"Nanjing","16.5","6.6",28,"college degree","female","urban","制造业","more than 500","5","yes","managers","R",1,"yes","100-150k","employed",1
"Nanjing","16.5","3.3",23,"some college","female","rural","运营","101-300","5","yes","managers","R",1,"no","30-60k","employed",5
"Nanjing","16.5","6.6",36,"some college","male","rural","外贸","301-500","5","yes","managers","N",1,"yes","100-150k","employed",3
"Nanjing","16.5","6.6",55,"high school","male","rural","服务","less than 10","5","yes","managers","R",1,"yes","100-150k","employed",4
"Nanjing","165","66",18,"college degree","male","urban","电子信息","10-100","5","yes","managers","N",0,"no","60-100k","self employed",4
"Nanjing","29","23",23,"college degree","male","rural","服务业","10-100","5","yes","managers","R",1,"yes","60-100k","employed",4
"Nanjing","16.5","6.6",44,"college degree","male","urban","政府公共事业","10-100","5","no","managers","R",0,"yes","more than 150k","employed",1
"Nanjing","16.5","6.6",58,"some college","male","urban","IT","10-100","5","no","managers","R",0,"no","more than 150k","employed",2
"Nanjing","16.5","6.6",32,"high school","female","urban","制造业","301-500","5","yes","managers","N",0,"yes","100-150k","employed",4
"Nanjing","16.5","6.6",31,"college degree","female","rural","电子厂","101-300","5","yes","managers","R",1,"yes","more than 150k","employed",2
"Nanjing","16.5","6.6",30,"college degree","female","urban","行政","301-500","5","no","managers","R",0,"no","60-100k","employed",1
"Nanjing","5000","5000",27,"college degree","female","rural","制造业","10-100","7","no","managers","N",1,"no","60-100k","employed",3
"Nanjing","16.5","6.6",28,"college degree","female","urban","制造业","more than 500","5","no","managers","R",1,"no","100-150k","employed",4
"Nanjing","20","15",25,"college degree","male","urban","建筑","101-300","5","yes","managers","R",1,"yes","more than 150k","employed",4
"Nanjing","16.5","6.6",33,"college degree","male","urban","服务业","10-100","5","no","managers","N",0,"yes","more than 150k","employed",3
"Nanjing","16.5","3.3",36,"high school","male","rural","服务","10-100","5","yes","managers","N",1,"yes","100-150k","employed",4
"Nanjing","8000","8000",26,"college degree","male","urban","hr","301-500","5","yes","managers","R",1,"no","30-60k","employed",1
"Nanjing","16.5","6.6",30,"high school","male","urban","传媒","101-300","5","no","managers","R",0,"no","30-60k","employed",3
"Nanjing","16.5","6.6",27,"high school","female","rural","金融","10-100","5","yes","managers","N",1,"no","60-100k","employed",4
"Nanjing","2.3","2.3",33,"college degree","male","urban","金融","101-300","5","yes","managers","R",1,"no","100-150k","employed",4
"Nanjing","16.5","6.6",28,"college degree","female","rural","制造","10-100","5","yes","managers","N",0,"no","60-100k","employed",3
"Nanjing","26","6.6",28,"less than high school","female","rural","电子","301-500","5","yes","managers","N",1,"yes","30-60k","employed",5
"Nanjing","16.5","6.6",26,"some college","male","rural","计算机软件","more than 500","5","no","managers","R",1,"no","60-100k","employed",5
"Nanjing","16.5","6.6",39,"college degree","male","rural","健康","more than 500","5","no","managers","R",1,"no","more than 150k","employed",2
"Nanjing","16.5","6.6",29,"college degree","female","urban","汽车零部件","301-500","5","no","managers","N",0,"no","60-100k","employed",4
"Nanjing","16.5","6.6",28,"college degree","female","urban","餐饮","101-300","5","yes","managers","N",0,"yes","30-60k","self employed",4
"Nanjing","165","66",24,"college degree","female","urban","贸易","10-100","5","yes","managers","R",0,"no","more than 150k","employed",4
"Nanjing","16.5","6.6",29,"college degree","male","rural","能源","101-300","5","no","managers","N",0,"yes","100-150k","employed",4
"Nanjing","16.5","6.6",29,"college degree","male","rural","制造业","more than 500","5","idk","managers","R",1,"no","60-100k","employed",4
"Nanjing","5","8",36,"high school","female","rural","中钢天源","more than 500","5","yes","managers","R",1,"yes","60-100k","employed",4
